temperature_2m_mean,total_precipitation_sum,potential_evaporation_sum,streamflow
6.08,3.1,1.3886424,509.0
10.530000000000001,4.24,1.8772347,518.0
11.834999999999999,8.02,1.690698,516.0
7.38,15.27,1.3629851,620.0
4.8,8.48,1.0435983,759.0
5.41,0.0,0.96190953,801.0
6.405,0.0,1.092986,842.0
7.675,2.1,1.4381666,876.0
5.48,3.55,1.2709752,890.0
3.67,0.0,1.1277502,878.0
1.5299999999999998,10.66,1.24318,888.0
5.555000000000001,12.3,1.1375406,1000.0
4.35,1.17,0.98183924,1050.0
1.725,0.26,0.8115433,1060.0
1.1800000000000002,0.0,0.8331103,1060.0
0.43500000000000005,0.0,1.1937243,1060.0
3.26,0.01,1.3992971,1050.0
8.5,0.19,1.5086938,1050.0
9.405000000000001,1.88,1.3256751,1010.0
4.62,0.91,1.0536159,982.0
1.7399999999999998,1.71,0.86272836,955.0
1.1149999999999998,0.36,0.72698843,925.0
0.4850000000000001,0.0,0.79442054,877.0
2.71,0.0,0.93087226,854.0
1.4749999999999996,0.19,1.1001936,833.0
4.445,12.62,1.0350726,926.0
1.16,2.99,0.7171145,914.0
-1.1199999999999999,0.22,0.63234574,921.0
-1.66,0.0,0.6268122,909.0
0.020000000000000018,0.0,0.5989463,899.0
1.5850000000000002,0.01,0.6574582,899.0
1.465,1.47,0.59611315,884.0
-1.3,0.0,0.5726441,856.0
-4.3100000000000005,0.03,0.5835103,845.0
1.125,1.46,0.80075204,840.0
3.3049999999999997,1.31,0.80061007,821.0
-2.38,0.84,0.5550351,795.0
-0.42999999999999994,4.99,0.5391247,781.0
-1.4,6.84,0.47633827,781.0
-5.119999999999999,1.99,0.48071092,781.0
-1.6400000000000001,3.43,0.45259604,785.0
-0.54,3.51,0.4112712,771.0
0.925,0.21,0.42594904,776.0
-0.5200000000000001,1.0,0.40647307,791.0
-1.1600000000000001,1.86,0.40192643,793.0
-3.335,0.0,0.39494964,780.0
-5.65,1.41,0.33510497,751.0
-5.18,0.0,0.3290769,743.0
-4.6,4.65,0.30046865,735.0
-4.64,1.8,0.26851857,719.0
-6.8,0.0,0.39210862,711.0
-2.865,0.0,0.47109354,709.0
-1.54,0.0,0.4890022,684.0
-2.255,0.0,0.55811733,670.0
0.2650000000000001,11.42,0.51726323,664.0
2.035,16.61,0.36878327,766.0
-2.495,10.33,0.348906,886.0
-6.655,0.0,0.29250148,883.0
-5.175,3.33,0.34310818,909.0
-1.765,11.51,0.37325606,966.0
-2.355,1.89,0.31710967,952.0
-4.6499999999999995,1.78,0.37547705,948.0
-4.260000000000001,3.97,0.39648527,915.0
-1.1700000000000002,12.44,0.428186,915.0
-6.175,13.12,0.28177518,900.0
-8.755,2.63,0.17043485,910.0
-6.38,0.0,0.233411,950.0
-5.800000000000001,0.01,0.2559517,1020.0
-4.27,7.21,0.34063363,1090.0
-4.1899999999999995,6.7,0.33628204,1160.0
-9.885,0.79,0.22338536,1210.0
-16.005,1.12,0.053745903,1210.0
-21.965,0.5,0.0,1190.0
-16.51,2.33,0.042077925,1150.0
-17.265,0.65,0.016576253,1100.0
-22.2,1.12,0.0,1050.0
-21.86,8.32,0.0,990.0
-16.545,6.84,0.03348342,950.0
-17.195,0.01,0.020567091,925.0
-16.72,0.0,0.034767147,900.0
-21.18,0.0,0.0,870.0
-24.675,0.0,0.0,850.0
-25.650000000000002,0.19,0.0,820.0
-19.655,3.0,0.0,780.0
-10.27,4.59,0.1931892,760.0
-21.935,4.99,0.0,740.0
-25.825,0.0,0.0,700.0
-20.725,0.0,0.0,670.0
-16.585,0.0,0.05161146,650.0
-5.140000000000001,2.01,0.3158179,630.0
-8.01,2.27,0.24781047,610.0
-6.575,2.14,0.28445745,585.0
-19.36,0.0,0.0,550.0
-16.544999999999998,5.19,0.04091558,540.0
-25.045,6.68,0.0,530.0
-28.89,0.0,0.0,520.0
-22.43,0.52,0.0,510.0
-16.37,0.97,0.04836059,490.0
-10.03,7.72,0.25882706,485.0
-12.765,4.7,0.15142098,480.0
-19.515,0.0,0.0,470.0
-19.5,7.05,0.0,460.0
-17.535,4.72,0.007968205,450.0
-20.555,0.0,0.0,445.0
-24.005,7.56,0.0,440.0
-17.52,2.02,0.007871431,435.0
-20.45,0.0,0.0,430.0
-21.035,0.0,0.0,430.0
-19.95,0.0,0.0,425.0
-19.075,0.17,0.0,420.0
-11.04,0.0,0.2101657,410.0
-13.46,0.0,0.1482385,400.0
-16.745,0.65,0.041225284,400.0
-14.9,5.65,0.12043047,400.0
-9.315,4.21,0.22377579,395.0
